,Year,Density,Country_ID
220,2009,258.156694367498,69
221,2020,273,69
222,2003,350.39231824417,22
223,2009,351.294924554184,22
224,2020,347,22
225,2003,61.5823889392566,78
226,2009,77.6442892543366,78
227,2020,115,78
228,2003,5.52247212653258,160
229,2009,5.96096677408601,160
230,2020,7,160
231,2003,60.9318954914432,110
232,2009,71.8659591664617,110
233,2020,94,110
234,2003,121.303367003367,23
235,2009,158.307800224467,23
236,2020,240,23
237,2003,36.7862075386837,97
238,2009,34.4430524284336,97
239,2020,30,97
240,2003,428.971163245357,70
241,2009,470.481524926686,70
242,2020,667,70
243,2003,31.946200166113,163
244,2009,38.9756333056478,163
245,2020,53,163
246,2003,3.19432749468611,111
247,2009,3.48612932925651,111
248,2020,4,111
249,2003,213.59375,164
250,2009,223.29375,164
251,2020,238,164
252,2003,54.4864869176771,112
253,2009,50.4653530115676,112
254,2020,43,112
255,2003,185.855967078189,71
256,2009,204.848971193416,71
257,2020,242,71
258,2003,29.7127299927778,166
259,2009,35.3700811638064,166
260,2020,48,166
261,2003,127.282361052185,167
262,2009,149.853150190921,167
263,2020,203,167
264,2003,75.1752214274844,19
265,2009,84.4164967280475,19
266,2020,99,19
267,2003,1008.94333333333,168
268,2009,1177.99333333333,168
269,2020,1802,168
270,2003,9.82035174849818,169
271,2009,11.9501298978028,169
272,2020,17,169
273,2003,1245.56875,113
274,2009,1288.990625,113
275,2020,1380,113
276,2003,2.77204618220627,170
277,2009,3.29233433588823,170
278,2020,5,170
279,2003,597.71921182266,114
280,2009,614.497044334975,114
281,2020,626,114
282,2003,53.0265799017464,52
283,2009,57.8532817202089,52
284,2020,66,52
285,2003,125.853415543247,171
286,2009,124.120304939604,171
287,2020,123,171
288,2003,16576.5,115
289,2009,17613,115
290,2020,26337,115
291,2003,1.58909987383815,24
292,2009,1.72107675274853,24
293,2020,2,24
294,2003,45.5217100371747,98
295,2009,45.969814126394,98
296,2020,47,98
297,2003,66.732879229218,79
298,2009,71.5417589065651,79
299,2020,83,79
300,2003,24.5823901930364,172
301,2009,29.1140542740151,172
302,2020,40,172
303,2003,73.6739939406922,116
304,2009,76.9177514158886,116
305,2020,83,116
306,2003,2.28244846894776,173
307,2009,2.52771684339662,173
308,2020,3,173
309,2003,174.962483432159,117
310,2009,187.537739797698,117
311,2020,203,117
312,2003,480.607286729858,53
313,2009,490.079691669137,53
314,2020,508,53
315,2003,15.2945197675743,29
316,2009,16.340435228438,29
317,2020,18,29
318,2003,43.9763835798571,72
319,2009,47.7441083596477,72
320,2020,55,72
321,2003,9.98498776347991,174
322,2009,12.5074074366464,174
323,2020,19,174
324,2003,144.823205639184,175
325,2009,169.444462377988,175
326,2020,226,175
327,2003,80.7481714510421,118
328,2009,82.0396114195083,118
329,2020,83,118
330,2003,12.4980976971087,54
331,2009,13.2205490208493,54
332,2020,15,54
333,2003,7.70974474959612,99
334,2009,9.29300807754443,99
335,2020,16,99
336,2003,198.5955959423,176
337,2009,227.69511337692,176
338,2020,287,176
339,2003,43.0630434782609,119
340,2009,39.75,119
341,2020,39,119
342,2003,43.1671778315846,55
343,2009,48.1465563626581,55
344,2020,58,55
345,2003,13.7423861679106,100
346,2009,15.7770083469505,100
347,2020,20,100
348,2003,14.1781600805437,73
349,2009,15.514653913919,73
350,2020,18,73
351,2003,21.3845515625,56
352,2009,22.49426171875,56
353,2020,26,56
354,2003,278.538991179528,25
355,2009,309.937813998726,25
356,2020,368,25
357,2003,124.753689916405,30
358,2009,124.564460624265,30
359,2020,124,30
360,2003,114.304054644809,57
361,2009,115.386472322306,57
362,2020,111,57
363,2003,58.7242032730405,80
364,2009,142.545219638243,80
365,2020,248,80
366,2003,93.8218134377039,17
367,2009,88.5311962096844,17
368,2020,84,17
369,2003,346.865058775841,177
370,2009,396.545196595055,177
371,2020,525,177
372,2003,62.7151943462897,81
373,2009,65.2141342756184,81
374,2020,70,81
375,2003,476.033333333333,180
376,2009,513.6,180
377,2020,566,180
378,2003,10.4464592569161,74
379,2009,12.3879736148003,74
380,2020,16,74
381,2003,54.7523347010855,182
382,2009,64.0683737599335,182
383,2020,87,182
384,2003,85.5315687171278,101
385,2009,83.7046306883147,101
386,2020,100,101
387,2003,179.958695652174,183
388,2009,189.778260869565,183
389,2020,214,183
390,2003,72.0569409808811,184
391,2009,86.9040454419507,184
392,2020,111,184
393,2003,5989.5577624262,6
394,2009,7125.10428571429,6
395,2020,8358,6
396,2003,99.0929990069513,7
397,2009,101.245373452163,7
398,2020,103,7
399,2003,15.6460802754487,185
400,2009,18.6783753626423,185
401,2020,25,185
402,2003,38.5125555399847,26
403,2009,41.610277061059,26
404,2020,49,26
405,2003,..,187
406,2009,..,187
407,2020,18,187
408,2003,84.5088139260031,8
409,2009,92.9750651746681,8
410,2020,94,8
411,2003,306.554568649338,82
412,2009,320.897911018976,82
413,2020,341,82
414,2003,..,188
415,2009,..,188
416,2020,25,188
417,2003,3.12783333333333,102
418,2009,3.35327564102564,102
419,2020,4,102
420,2003,21.8312350733538,27
421,2009,22.6605132329288,27
422,2020,25,27
423,2003,185.698763155121,9
424,2009,195.966970559419,9
425,2020,219,9
426,2003,41.0225581395349,190
427,2009,48.6270422217205,190
428,2020,67,190
429,2003,126.347875276478,11
430,2009,130.883045273934,11
431,2020,137,11
432,2003,63.6925353059852,191
433,2009,72.2445864156019,191
434,2020,89,191
435,2003,98.0077036219893,192
436,2009,114.926181283324,192
437,2020,152,192
438,2003,250.206432748538,75
439,2009,257.491228070175,75
440,2020,273,75
441,2003,64.014398815654,103
442,2009,67.7503475798146,103
443,2020,76,103
444,2003,85.8716552109455,59
445,2009,92.669723113704,59
446,2020,110,59
447,2003,130.026284970722,122
448,2009,157.204824583354,122
449,2020,229,122
450,2003,82.5300341768219,83
451,2009,79.495442933094,83
452,2020,75,83
453,2003,52.2660095747677,76
454,2009,111.480878625739,76
455,2020,118,76
456,2003,246.548906708552,12
457,2009,257.414417393461,12
458,2020,281,12
459,2003,31.6645346171981,13
460,2009,33.5363992251367,13
461,2020,36,13
462,2003,18.9902182607702,60
463,2009,19.1388184207519,60
464,2020,20,60
465,2003,60.1026093088858,194
466,2009,65.2736248236953,194
467,2020,79,194
468,2003,16.3214930270714,104
469,2009,18.8881870385562,104
470,2020,25,104
471,2003,265.429277259974,14
472,2009,280.879324023608,14
473,2020,314,14
474,2003,15.1424460915536,197
475,2009,17.7768587148065,197
476,2020,25,197
477,2003,30.9738244797725,198
478,2009,32.381977510663,198
479,2020,38,198
