Week,Cases,Deaths,Country_ID,Year,Disease_ID
3,94,0,193,2020,3
3,0,0,122,2020,3
3,0,0,83,2020,3
3,59,0,76,2020,3
3,52,0,12,2020,3
3,0,0,60,2020,3
3,0,0,194,2020,3
3,0,0,77,2020,3
3,112,0,14,2020,3
3,0,0,195,2020,3
3,0,0,196,2020,3
3,0,0,85,2020,3
3,0,0,197,2020,3
3,0,0,198,2020,3
4,0,0,123,2020,3
4,0,0,124,2020,3
4,0,0,86,2020,3
4,0,0,125,2020,3
4,0,0,126,2020,3
4,0,0,87,2020,3
4,0,0,35,2020,3
4,0,0,127,2020,3
4,120,0,15,2020,3
4,0,0,36,2020,3
4,0,0,128,2020,3
4,0,0,61,2020,3
4,0,0,37,2020,3
4,0,0,88,2020,3
4,0,0,62,2020,3
4,0,0,129,2020,3
4,8,0,16,2020,3
4,0,0,130,2020,3
4,0,0,131,2020,3
4,0,0,132,2020,3
4,0,0,63,2020,3
4,0,0,133,2020,3
4,0,0,134,2020,3
4,0,0,18,2020,3
4,0,0,135,2020,3
4,0,0,28,2020,3
4,0,0,136,2020,3
4,0,0,137,2020,3
4,0,0,138,2020,3
4,0,0,139,2020,3
4,8,0,90,2020,3
4,0,0,140,2020,3
4,64,0,0,2020,3
4,0,0,141,2020,3
4,0,0,142,2020,3
4,0,0,38,2020,3
4,587818,16331,1,2020,3
4,0,0,32,2020,3
4,0,0,143,2020,3
4,0,0,144,2020,3
4,0,0,39,2020,3
4,0,0,92,2020,3
4,0,0,107,2020,3
4,0,0,40,2020,3
4,0,0,64,2020,3
4,0,0,145,2020,3
4,0,0,42,2020,3
4,4159,6,146,2020,3
4,0,0,147,2020,3
4,0,0,65,2020,3
4,0,0,43,2020,3
4,0,0,44,2020,3
4,8,0,66,2020,3
4,0,0,45,2020,3
4,0,0,148,2020,3
4,0,0,149,2020,3
4,0,0,67,2020,3
4,0,0,150,2020,3
4,0,0,93,2020,3
4,0,0,94,2020,3
4,8,0,33,2020,3
4,96,8,2,2020,3
4,0,0,151,2020,3
4,0,0,152,2020,3
4,0,0,153,2020,3
4,128,0,3,2020,3
4,0,0,154,2020,3
4,0,0,47,2020,3
4,0,0,155,2020,3
4,0,0,48,2020,3
4,0,0,156,2020,3
4,0,0,157,2020,3
4,0,0,108,2020,3
4,0,0,158,2020,3
4,0,0,159,2020,3
4,0,0,49,2020,3
4,0,0,68,2020,3
4,0,0,50,2020,3
4,24,0,20,2020,3
4,0,0,21,2020,3
4,53,13,95,2020,3
4,0,0,109,2020,3
4,0,0,4,2020,3
4,2,0,51,2020,3
