Series Name,Series Code,Country Name,Country Code,2003 [YR2003],2009 [YR2009],2018 [YR2018]
Population density (people per sq. km of land area),EN.POP.DNST,Dominican Republic,DOM,183.198447526392,198.23508590354,219.97857586421
Population density (people per sq. km of land area),EN.POP.DNST,Ecuador,ECU,53.8318489289741,59.4879368658399,68.7886817522951
Population density (people per sq. km of land area),EN.POP.DNST,"Egypt, Arab Rep.",EGY,73.1589703149329,81.5056487015923,98.8734692852479
Population density (people per sq. km of land area),EN.POP.DNST,El Salvador,SLV,289.289430501931,297.185617760618,309.881467181467
Population density (people per sq. km of land area),EN.POP.DNST,Equatorial Guinea,GNQ,24.48,32.1425668449198,46.6657397504456
Population density (people per sq. km of land area),EN.POP.DNST,Eritrea,ERI,25.7522079207921,30.890297029703,..
Population density (people per sq. km of land area),EN.POP.DNST,Estonia,EST,32.3359282849729,31.4818353385232,30.3861053600184
Population density (people per sq. km of land area),EN.POP.DNST,Eswatini,SWZ,59.4652325581395,61.4806395348837,66.0576162790698
Population density (people per sq. km of land area),EN.POP.DNST,Ethiopia,ETH,72.170584,85.233913,109.224559
Population density (people per sq. km of land area),EN.POP.DNST,Faroe Islands,FRO,33.9770758783694,34.2464168408055,34.7399698278226
Population density (people per sq. km of land area),EN.POP.DNST,Fiji,FJI,44.6675424192666,46.7234263820471,48.3570333880679
Population density (people per sq. km of land area),EN.POP.DNST,Finland,FIN,17.1148560359828,17.5678545574202,18.1568556480537
Population density (people per sq. km of land area),EN.POP.DNST,France,FRA,113.613134004426,118.174073061316,122.338395739199
Population density (people per sq. km of land area),EN.POP.DNST,French Polynesia,PYF,69.0445355191257,72.4737704918033,75.8685792349727
Population density (people per sq. km of land area),EN.POP.DNST,Gabon,GAB,5.12264912484961,6.08890441262079,8.22476423332169
Population density (people per sq. km of land area),EN.POP.DNST,"Gambia, The",GMB,143.273221343874,171.964328063241,225.30652173913
Population density (people per sq. km of land area),EN.POP.DNST,Georgia,GEO,69.13705867945,66.7346478183281,65.2752020714511
Population density (people per sq. km of land area),EN.POP.DNST,Germany,DEU,236.616427281328,234.939637417171,237.3709697733
Population density (people per sq. km of land area),EN.POP.DNST,Ghana,GHA,91.1940713720664,106.22721279775,130.821429199262
Population density (people per sq. km of land area),EN.POP.DNST,Gibraltar,GIB,3255.5,3356.5,3371.8
Population density (people per sq. km of land area),EN.POP.DNST,Greece,GRC,84.7794414274632,86.1677036462374,83.2247323506594
Population density (people per sq. km of land area),EN.POP.DNST,Greenland,GRL,0.138299427457668,0.137222560604215,0.136496528200755
Population density (people per sq. km of land area),EN.POP.DNST,Grenada,GRD,305.897058823529,311.144117647059,327.805882352941
Population density (people per sq. km of land area),EN.POP.DNST,Guam,GUM,292.068518518519,294.862962962963,306.977777777778
Population density (people per sq. km of land area),EN.POP.DNST,Guatemala,GTM,116.652463605823,133.597079134005,160.953779395297
Population density (people per sq. km of land area),EN.POP.DNST,Guinea,GIN,35.6222244831516,40.5521284388735,50.5222122741332
Population density (people per sq. km of land area),EN.POP.DNST,Guinea-Bissau,GNB,45.6367354196302,52.7710170697013,66.6539473684211
Population density (people per sq. km of land area),EN.POP.DNST,Guyana,GUY,3.78533401066802,3.79841503683007,3.95734823469647
Population density (people per sq. km of land area),EN.POP.DNST,Haiti,HTI,322.935558780842,355.516908563135,403.59854862119
Population density (people per sq. km of land area),EN.POP.DNST,Honduras,HND,63.5116543033336,72.8463222808115,85.6870319063366
Population density (people per sq. km of land area),EN.POP.DNST,"Hong Kong SAR, China",HKG,6410.28571428571,6640.7619047619,7096.19047619048
Population density (people per sq. km of land area),EN.POP.DNST,Hungary,HUN,113.027806293238,110.710814094775,107.906605545123
Population density (people per sq. km of land area),EN.POP.DNST,Iceland,ISL,2.88799002493766,3.17704738154613,3.52692269326683
Population density (people per sq. km of land area),EN.POP.DNST,India,IND,373.848675664858,409.568919241623,454.938072575247
Population density (people per sq. km of land area),EN.POP.DNST,Indonesia,IDN,121.612451630354,131.720310559349,147.75219008926
Population density (people per sq. km of land area),EN.POP.DNST,"Iran, Islamic Rep.",IRN,41.8250313121639,44.7732244161202,50.222420123284
Population density (people per sq. km of land area),EN.POP.DNST,Iraq,IRQ,58.6334202162928,66.7092512433229,88.5305700354617
Population density (people per sq. km of land area),EN.POP.DNST,Ireland,IRL,58.0130788213093,65.8350268544056,70.452983016403
Population density (people per sq. km of land area),EN.POP.DNST,Isle of Man,IMN,138.39298245614,148.028070175439,147.50350877193
Population density (people per sq. km of land area),EN.POP.DNST,Israel,ISR,309.135859519408,345.914972273567,410.526802218115
Population density (people per sq. km of land area),EN.POP.DNST,Italy,ITA,194.850081593799,200.908971918134,205.450747943156
Population density (people per sq. km of land area),EN.POP.DNST,Jamaica,JAM,250.178855032318,258.156694367498,270.993074792244
Population density (people per sq. km of land area),EN.POP.DNST,Japan,JPN,350.39231824417,351.294924554184,347.073458415624
Population density (people per sq. km of land area),EN.POP.DNST,Jordan,JOR,61.5823889392566,77.6442892543366,112.14249831043
Population density (people per sq. km of land area),EN.POP.DNST,Kazakhstan,KAZ,5.52247212653258,5.96096677408601,6.76982590658221
Population density (people per sq. km of land area),EN.POP.DNST,Kenya,KEN,60.9318954914432,71.8659591664617,90.2994166637383
Population density (people per sq. km of land area),EN.POP.DNST,Kiribati,KIR,109.672839506173,124.604938271605,143.020987654321
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Dem. People’s Rep.",PRK,195.518860559754,202.876347479445,212.190175234615
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Rep.",KOR,494.755475206612,508.013960436843,529.652103632681
Population density (people per sq. km of land area),EN.POP.DNST,Kosovo,XKX,156.467897492422,161.79608707633,..
Population density (people per sq. km of land area),EN.POP.DNST,Kuwait,KWT,121.303367003367,158.307800224467,232.172222222222
Population density (people per sq. km of land area),EN.POP.DNST,Kyrgyz Republic,KGZ,26.2945776850886,28.0672575599583,32.9290928050052
