Week,Country,Cases,Deaths
11,Germany,60,0
11,India,18,0
11,Indonesia,12,0
11,Ireland,6,0
11,Italy,54,0
11,Kuwait,6,0
11,Malaysia,30,12
11,Mongolia,54,0
11,New Zealand,6,0
11,Philippines,76,12
11,Republic of Korea,18,0
11,Romania,6,0
11,Russia,6,0
11,Singapore,1236,186
11,South Africa,6,6
11,Spain,6,0
11,Sweden,18,0
11,Switzerland,6,0
11,Taiwan,4110,486
11,Thailand,53,12
11,United Kingdom,24,0
11,United States,417,0
11,Vietnam,378,30
12,Brazil,18,0
12,Canada,1472,200
12,China,42492,3853
12,Colombia,6,0
12,Finland,6,0
12,France,42,0
12,Germany,60,0
12,India,18,0
12,Indonesia,12,0
12,Ireland,6,0
12,Italy,54,0
12,Kuwait,6,0
12,Malaysia,30,12
12,Mongolia,54,0
12,New Zealand,6,0
12,Philippines,84,12
12,Republic of Korea,18,0
12,Romania,6,0
12,Russia,6,0
12,Singapore,1236,186
12,South Africa,6,6
12,Spain,6,0
12,Sweden,18,0
12,Switzerland,6,0
12,Taiwan,4174,501
12,Thailand,54,12
12,United Kingdom,24,0
12,United States,443,0
12,Vietnam,378,30
13,Australia,5,0
13,Brazil,16,0
13,Canada,1505,223
13,China,42497,3868
13,Colombia,6,0
13,Finland,6,0
13,France,42,0
13,Germany,60,0
13,India,18,0
13,Indonesia,12,0
13,Ireland,6,0
13,Italy,42,0
13,Japan,2,0
13,Kuwait,6,0
13,Malaysia,30,12
13,Mongolia,54,0
13,New Zealand,6,0
13,Philippines,84,12
13,Republic of Korea,18,0
13,Romania,6,0
13,Russia,6,0
13,Singapore,1236,190
13,South Africa,6,6
13,Spain,6,0
13,Sweden,18,0
13,Switzerland,6,0
13,Taiwan,4092,504
13,Thailand,54,12
13,United Kingdom,24,0
13,United States,444,0
13,Vietnam,378,30
14,Brazil,6,0
14,Canada,1504,228
14,China,42498,3876
14,Colombia,6,0
14,Finland,6,0
14,France,42,0
14,Germany,60,0
14,India,18,0
14,Indonesia,12,0
14,Ireland,6,0
14,Italy,24,0
14,Kuwait,6,0
14,Malaysia,30,12
14,Mongolia,54,0
14,New Zealand,6,0
14,Philippines,84,12
14,Republic of Korea,18,0
14,Romania,6,0
14,Russia,6,0
14,Singapore,1236,192
14,South Africa,6,6
14,Spain,6,0
14,Sweden,18,0
14,Switzerland,6,0
14,Taiwan,4040,504
14,Thailand,54,12
14,United Kingdom,24,0
14,United States,441,0
14,Vietnam,378,30
15,Brazil,2,0
15,Canada,500,76
15,China,14166,1292
15,Colombia,2,0
15,Finland,2,0
15,France,14,1
15,Germany,20,0
15,India,6,0
15,Indonesia,4,0
15,Ireland,2,0
15,Italy,8,0
15,Kuwait,2,0
15,Malaysia,10,4
15,Mongolia,18,0
15,New Zealand,2,0
15,Philippines,28,4
15,Republic of Korea,6,0
15,Romania,2,0
15,Russia,2,0
15,Singapore,412,64
15,South Africa,2,2
15,Spain,2,0
15,Sweden,6,0
15,Switzerland,2,0
15,Taiwan,1342,168
15,Thailand,18,4
15,United Kingdom,8,0
15,United States,150,0
15,Vietnam,126,10
